2018-10-28 00:59:27,732 [Worker-10: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-10-28 01:00:04,623 [Worker-12: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Indus:Area2:0.0.1-SNAPSHOT @ C:\IndusTraining\WorkSpace\CoreJavaDay3\Area2\pom.xml.
2018-10-28 01:00:04,623 [Worker-0: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Indus:Area2:0.0.1-SNAPSHOT @ C:\IndusTraining\WorkSpace\CoreJavaDay3\Area2\pom.xml.
2018-10-28 01:00:07,264 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 01:00:07,264 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-28 01:00:07,279 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 01:00:07,279 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-28 01:00:09,439 [Worker-0: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Indus:Area2:0.0.1-SNAPSHOT @ C:\IndusTraining\WorkSpace\CoreJavaDay3\Area2\pom.xml.
2018-10-28 01:00:10,062 [Worker-8: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 01:00:10,062 [Worker-8: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-28 01:00:10,062 [Worker-8: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 01:00:10,062 [Worker-8: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-28 01:04:09,916 [Worker-0: Creating project "Distance"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Indus:Distance:0.0.1-SNAPSHOT @ C:\IndusTraining\WorkSpace\CoreJavaDay3\Distance\pom.xml.
2018-10-28 01:04:10,483 [Worker-0: Creating project "Distance"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Distance/src/main/java
2018-10-28 01:04:10,483 [Worker-0: Creating project "Distance"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Distance/src/main/resources
2018-10-28 01:04:10,483 [Worker-0: Creating project "Distance"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Distance/src/test/java
2018-10-28 01:04:10,483 [Worker-0: Creating project "Distance"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Distance/src/test/resources
2018-10-28 01:04:12,618 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 01:04:12,633 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-28 01:04:12,633 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 01:04:12,633 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-28 01:04:42,663 [Worker-14: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 01:04:42,695 [Worker-14: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-28 01:04:42,710 [Worker-14: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
